elapsed_s,temp_c,power_mw
5.245208740234375e-06,39.0,2862.0
0.2574155330657959,39.0,3062.0
0.5098428726196289,39.0,2985.0
0.762073278427124,39.0,3026.0
1.0144588947296143,39.0,3026.0
1.2668840885162354,38.5,3103.0
1.5193119049072266,38.5,3026.0
1.7717726230621338,38.5,3067.0
2.024090528488159,39.0,3026.0
2.2764430046081543,38.5,2985.0
2.5287721157073975,39.0,3067.0
2.781301259994507,38.5,3067.0
3.0337064266204834,38.5,2985.0
3.2861533164978027,39.0,3026.0
3.538569688796997,38.5,3026.0
3.790911912918091,38.5,3067.0
4.043212175369263,38.5,2944.0
4.295637130737305,39.0,3616.0
4.548190593719482,38.5,3067.0
4.800752401351929,38.5,3067.0
5.053045272827148,38.5,3067.0
5.305304527282715,38.5,3026.0
5.557587623596191,39.0,3026.0
5.809932231903076,39.0,3108.0
6.062243223190308,39.0,3067.0
6.314548492431641,38.5,3067.0
6.56708550453186,39.0,3302.0
6.819545745849609,38.5,2908.0
7.071910381317139,39.0,2867.0
7.324267625808716,38.5,2908.0
7.576605319976807,39.0,2867.0
7.828983783721924,40.0,3184.0
8.081400394439697,40.0,3342.0
8.333801746368408,40.0,3383.0
8.586223363876343,40.5,3383.0
8.83863878250122,40.5,3383.0
9.09117078781128,40.5,3383.0
9.343673467636108,40.5,3814.0
9.59627652168274,40.5,3419.0
9.848732948303223,40.0,3342.0
10.101149797439575,40.5,3419.0
10.353616952896118,40.0,3576.0
10.606016874313354,39.0,3500.0
10.858634233474731,39.0,3144.0
11.110980033874512,39.0,3419.0
11.363709926605225,39.5,4314.0
11.617043256759644,39.5,4589.0
11.869750499725342,39.0,2944.0
12.122042417526245,39.0,2949.0
12.374494075775146,39.0,3026.0
12.626822471618652,39.0,2908.0
12.879201173782349,39.0,2867.0
13.131752729415894,39.0,2908.0
13.384166479110718,38.5,2908.0
13.636599779129028,38.5,2908.0
13.888962268829346,39.0,2908.0
14.141297578811646,39.0,2867.0
14.39364218711853,39.0,3144.0
14.645990133285522,39.0,2908.0
14.898342609405518,39.0,2908.0
15.15073847770691,39.0,2908.0
15.403107404708862,39.5,3067.0
15.655493021011353,39.0,2908.0
15.907904624938965,39.0,2908.0
16.16035270690918,39.5,2908.0
16.412782192230225,39.0,2944.0
16.665157079696655,39.0,2867.0
16.917518854141235,39.5,2944.0
17.169870853424072,39.0,2908.0
17.42220950126648,39.0,2908.0
17.675015687942505,39.0,2908.0
17.927417993545532,39.5,2908.0
18.179896116256714,39.0,2908.0
18.432302713394165,39.0,2908.0
18.684736013412476,39.5,2908.0
18.937110900878906,39.0,2867.0
19.18945813179016,39.0,2908.0
19.44181251525879,39.0,2908.0
19.694201469421387,39.0,3179.0
