elapsed_s,temp_c,power_mw
4.5299530029296875e-06,39.5,3144.0
0.25272297859191895,40.5,4815.0
0.505443811416626,40.0,4314.0
0.7578132152557373,40.5,4694.0
1.0103540420532227,41.0,4967.0
1.263251543045044,40.5,4927.0
1.51582932472229,40.5,4887.0
1.7684354782104492,41.0,4927.0
2.0214571952819824,40.0,4581.0
2.273975372314453,40.5,4541.0
2.5264363288879395,40.5,4468.0
2.7789554595947266,40.0,4240.0
3.0319225788116455,40.0,4428.0
3.294579267501831,40.5,4468.0
3.5470917224884033,40.5,4475.0
3.799852132797241,40.5,4662.0
4.052542209625244,40.5,4468.0
4.305104732513428,40.5,4508.0
4.557508707046509,40.0,4240.0
4.810436010360718,40.0,3576.0
5.0627806186676025,40.5,4085.0
5.315178155899048,40.0,4199.0
5.5678558349609375,40.0,4314.0
5.820655107498169,40.5,4662.0
6.073086500167847,41.0,4735.0
6.325444221496582,40.5,4435.0
6.577934741973877,40.0,4085.0
6.830555200576782,39.5,3495.0
7.083073854446411,40.0,3732.0
7.335605621337891,40.0,3378.0
7.588012456893921,40.5,4428.0
7.840532302856445,41.0,5040.0
8.092986822128296,41.0,4125.0
8.34529161453247,40.0,3616.0
8.597713232040405,40.5,4321.0
8.850136995315552,40.5,4589.0
9.102631092071533,40.5,4548.0
9.355493783950806,40.5,4280.0
9.607921838760376,40.5,4280.0
9.860360622406006,41.0,4280.0
10.112775087356567,40.5,4280.0
10.365185499191284,41.5,5120.0
10.617702722549438,42.5,6051.0
10.870296001434326,42.5,6130.0
11.12291932106018,43.0,6199.0
11.37546420097351,43.0,5982.0
11.628054141998291,42.5,5912.0
11.880603551864624,43.0,5872.0
12.13317084312439,43.0,5942.0
12.385727882385254,42.5,5753.0
12.648120164871216,42.5,5753.0
12.920220375061035,42.5,5683.0
13.173089027404785,42.5,5573.0
13.42685317993164,43.0,5793.0
13.680300235748291,42.5,5573.0
