elapsed_s,temp_c,power_mw
8.106231689453125e-06,44.5,5453.0
0.25732421875,44.0,5080.0
0.5099039077758789,45.0,5111.0
0.7625212669372559,44.5,5151.0
1.014963150024414,44.5,5382.0
1.2731361389160156,44.5,5040.0
1.5256073474884033,44.0,4581.0
1.7781035900115967,44.5,4960.0
2.0307531356811523,44.5,5120.0
2.2834792137145996,44.5,5342.0
2.537322521209717,44.5,4967.0
2.7897350788116455,45.0,5302.0
3.0422775745391846,45.5,4927.0
3.294790744781494,45.5,5080.0
3.5475573539733887,44.5,5302.0
3.800065279006958,44.0,4662.0
4.052458763122559,44.5,5151.0
4.305098056793213,44.0,4119.0
4.557792901992798,43.5,3808.0
4.810382604598999,43.5,3616.0
5.063092947006226,44.0,3535.0
5.3156962394714355,43.5,4273.0
5.56838846206665,44.0,4775.0
5.820883750915527,43.5,4501.0
6.073303461074829,44.5,5080.0
6.325838565826416,44.5,5000.0
6.578490972518921,45.5,5080.0
6.830994606018066,45.5,4887.0
7.084192752838135,44.0,4280.0
7.336568593978882,45.0,5120.0
7.588887453079224,45.0,5008.0
7.841240167617798,45.0,5120.0
8.093826532363892,46.5,5832.0
8.346298694610596,45.0,5080.0
8.598761081695557,44.5,5080.0
8.851304769515991,43.0,3657.0
9.103871583938599,43.5,4199.0
9.360474586486816,44.0,4775.0
9.612991571426392,44.5,4775.0
9.865774393081665,45.5,5151.0
10.118488550186157,44.5,5191.0
10.370907306671143,45.5,5342.0
10.623554944992065,46.0,5533.0
10.87600326538086,46.0,5643.0
11.128516435623169,45.5,5151.0
11.38092827796936,45.5,5151.0
11.633487224578857,45.0,5151.0
11.885963201522827,46.0,5453.0
12.13832402229309,45.0,5191.0
12.390684843063354,46.0,5342.0
12.64321494102478,45.0,5000.0
12.898590803146362,45.0,5080.0
13.15113353729248,45.5,5533.0
13.403672695159912,45.5,5302.0
13.656501770019531,45.5,5753.0
13.909290790557861,45.0,5643.0
14.16206693649292,45.0,5120.0
14.414759397506714,45.0,5151.0
14.667713403701782,44.5,4927.0
14.92079782485962,44.5,4428.0
15.174172401428223,44.5,3808.0
15.426750898361206,44.5,3929.0
15.679170608520508,44.0,4314.0
15.931790828704834,45.0,5533.0
16.18444013595581,45.5,5151.0
16.436959743499756,45.5,5191.0
16.69011878967285,45.5,5342.0
16.945109844207764,46.0,5040.0
17.19751286506653,46.0,4927.0
17.450026035308838,46.0,5413.0
17.703495740890503,46.0,5453.0
17.956047296524048,46.0,5080.0
18.208730697631836,47.0,5271.0
18.46134662628174,46.0,5493.0
18.714383840560913,45.5,5231.0
18.96693706512451,45.0,4855.0
19.219508409500122,45.0,4895.0
19.472087383270264,45.5,5151.0
19.724838495254517,45.5,5302.0
19.980626821517944,45.5,5493.0
20.234588146209717,45.5,5000.0
20.48705291748047,45.5,5120.0
20.739455461502075,46.5,5643.0
20.991833448410034,47.0,5263.0
21.244759559631348,45.5,5120.0
21.497528314590454,46.0,5342.0
21.752184629440308,45.5,4927.0
22.006734609603882,45.5,4775.0
22.25908088684082,45.5,4967.0
