elapsed_s,temp_c,power_mw,freq_mhz
4.5299530029296875e-06,40.0,3271.0,1479.0
0.25446605682373047,39.5,4091.0,1479.0
0.5070991516113281,40.5,4442.0,1479.0
0.7596323490142822,39.5,3112.0,1479.0
1.0122144222259521,40.0,3072.0,1479.0
1.2647907733917236,40.0,3112.0,1479.0
1.5175855159759521,40.0,3031.0,1479.0
1.7702252864837646,39.5,3112.0,1479.0
2.022810220718384,39.5,3307.0,1479.0
2.2753219604492188,40.5,3189.0,1479.0
2.527815103530884,40.0,3271.0,1479.0
2.7802348136901855,39.5,3072.0,1479.0
3.0328807830810547,40.0,3072.0,1479.0
3.285675287246704,40.5,3031.0,1479.0
3.5382614135742188,39.5,3031.0,1479.0
3.7910549640655518,40.0,3148.0,1479.0
4.043543100357056,39.5,3031.0,1479.0
4.296011209487915,40.5,3622.0,1479.0
4.548663854598999,40.0,3031.0,1479.0
4.8013904094696045,40.0,3112.0,1479.0
5.0539350509643555,40.0,2990.0,1479.0
5.3066442012786865,40.0,3148.0,1479.0
5.5591185092926025,40.0,3072.0,1479.0
5.811591625213623,41.5,4132.0,1479.0
6.064160108566284,40.0,3072.0,1479.0
6.316642761230469,40.5,3112.0,1479.0
6.569175481796265,40.0,3031.0,1479.0
6.821866273880005,40.0,3148.0,1479.0
7.074850559234619,39.5,2953.0,1479.0
7.3273515701293945,39.5,2912.0,1479.0
7.579858303070068,39.5,2871.0,1479.0
7.83236289024353,39.5,2871.0,1479.0
8.084858179092407,40.5,3271.0,1479.0
8.337435007095337,41.0,3622.0,1479.0
8.5902841091156,41.0,3389.0,1479.0
8.842936515808105,41.0,3389.0,1479.0
9.095538139343262,41.5,3389.0,1479.0
9.348141193389893,41.0,3312.0,1479.0
9.600857973098755,41.0,3348.0,1479.0
9.8536856174469,41.5,3546.0,1479.0
10.106371879577637,41.5,3348.0,1479.0
10.359174966812134,41.0,3307.0,1479.0
10.611820697784424,41.0,3271.0,1479.0
10.864426851272583,41.0,3271.0,1479.0
11.117127895355225,40.5,3348.0,1479.0
11.370044231414795,40.5,3506.0,1479.0
11.622907638549805,40.0,3148.0,1479.0
11.875637531280518,40.0,2953.0,1479.0
12.128347873687744,40.0,2912.0,1479.0
12.380921125411987,40.0,3860.0,1479.0
12.633981227874756,40.0,3506.0,1479.0
12.886665344238281,40.0,3112.0,1479.0
13.139318704605103,40.0,2990.0,1479.0
13.391832828521729,40.0,2912.0,1479.0
13.644522190093994,39.5,2912.0,1479.0
13.897310495376587,40.0,2912.0,1479.0
14.149839162826538,40.0,2953.0,1479.0
14.402432918548584,40.0,2912.0,1479.0
14.655181169509888,39.5,2871.0,1479.0
14.907682180404663,40.0,2912.0,1479.0
15.160174131393433,39.5,2912.0,1479.0
15.413021326065063,40.0,2912.0,1479.0
15.665589094161987,40.0,2953.0,1479.0
15.918420553207397,40.0,2912.0,1479.0
16.17101502418518,40.0,2912.0,1479.0
16.423524856567383,40.0,2912.0,1479.0
16.67605423927307,40.0,2912.0,1479.0
16.928539752960205,40.0,2912.0,1479.0
17.181185007095337,40.0,2912.0,1479.0
