elapsed_s,temp_c,power_mw,freq_mhz
4.5299530029296875e-06,41.0,3153.0,1479.0
0.2542922496795654,41.0,4823.0,1479.0
0.507164716720581,41.5,4863.0,1479.0
0.7597715854644775,41.0,4863.0,1479.0
1.0124869346618652,41.0,4823.0,1479.0
1.26611328125,41.0,4790.0,1479.0
1.5192477703094482,41.5,4903.0,1479.0
1.772050142288208,41.0,4895.0,1479.0
2.0247936248779297,41.0,4863.0,1479.0
2.277451276779175,41.5,4863.0,1479.0
2.530118465423584,41.0,4863.0,1479.0
2.782895565032959,41.5,4823.0,1479.0
3.035534143447876,41.5,4895.0,1479.0
3.288217067718506,41.5,4750.0,1479.0
3.5415966510772705,41.0,4823.0,1479.0
3.794419765472412,41.5,4895.0,1479.0
4.0473597049713135,41.5,4935.0,1479.0
4.300232172012329,41.5,4823.0,1479.0
4.553169250488281,41.5,5016.0,1479.0
4.816097021102905,41.5,4863.0,1479.0
5.068859815597534,41.0,4790.0,1479.0
5.321592092514038,41.0,4782.0,1479.0
5.574246644973755,41.0,4782.0,1479.0
5.827064752578735,42.0,5240.0,1479.0
6.079846143722534,42.0,5168.0,1479.0
6.333374738693237,42.5,5320.0,1479.0
6.586257219314575,42.5,5200.0,1479.0
6.839059591293335,42.5,5240.0,1479.0
7.0929179191589355,42.0,5320.0,1479.0
7.34573769569397,42.0,5240.0,1479.0
7.5993332862854,42.5,5200.0,1479.0
7.852468729019165,42.5,5280.0,1479.0
8.10637092590332,42.5,5351.0,1479.0
8.360450029373169,42.0,5320.0,1479.0
8.614572763442993,42.0,5311.0,1479.0
8.867459774017334,42.5,5351.0,1479.0
9.120282649993896,42.5,5240.0,1479.0
9.372988939285278,42.0,5360.0,1479.0
9.62577772140503,42.5,5320.0,1479.0
9.87857460975647,42.5,5360.0,1479.0
10.13143515586853,42.0,5320.0,1479.0
10.384388208389282,42.5,5320.0,1479.0
10.637133359909058,43.0,5280.0,1479.0
10.88981294631958,42.5,5280.0,1479.0
11.142644166946411,42.5,5160.0,1479.0
11.39545726776123,42.5,5240.0,1479.0
11.648237228393556,42.5,5391.0,1479.0
11.900979042053224,42.5,5391.0,1479.0
12.155001640319824,42.5,5391.0,1479.0
12.410381317138672,43.0,5240.0,1479.0
12.663682460784912,42.5,5088.0,1479.0
12.917081117630005,42.5,5168.0,1479.0
13.170472621917725,42.5,5391.0,1479.0
13.423909187316896,42.5,5431.0,1479.0
13.676776885986328,42.5,5391.0,1479.0
13.929900646209717,42.5,5320.0,1479.0
14.182726383209229,43.0,5320.0,1479.0
14.435558319091797,43.0,5320.0,1479.0
14.688517570495604,42.5,5280.0,1479.0
14.944312334060667,42.5,5391.0,1479.0
15.197121858596802,42.5,5471.0,1479.0
15.450002431869509,43.0,5320.0,1479.0
15.702816247940063,42.5,5280.0,1479.0
15.955615043640137,43.5,5311.0,1479.0
16.20839524269104,43.0,5280.0,1479.0
16.461169004440308,43.0,5280.0,1479.0
16.714202642440796,42.5,5280.0,1479.0
16.967047691345215,43.0,5240.0,1479.0
17.21989941596985,43.0,5320.0,1479.0
17.473182439804077,42.5,5391.0,1479.0
17.725982904434204,43.5,5502.0,1479.0
17.97965431213379,43.0,5351.0,1479.0
18.23276734352112,43.0,5280.0,1479.0
18.48548793792725,43.0,5351.0,1479.0
18.739039182662964,43.0,5391.0,1479.0
18.991931200027462,42.5,5360.0,1479.0
19.244767665863037,43.0,5360.0,1479.0
19.49752163887024,43.0,5280.0,1479.0
19.751025199890137,43.0,5320.0,1479.0
20.00693154335022,43.0,5320.0,1479.0
20.25973916053772,43.0,5240.0,1479.0
20.51250958442688,43.0,5320.0,1479.0
20.7652051448822,42.5,5431.0,1479.0
21.0181086063385,43.0,5391.0,1479.0
21.270934343338013,43.5,5431.0,1479.0
21.523732662200928,43.5,5360.0,1479.0
21.77654767036438,43.0,5320.0,1479.0
22.02930688858032,43.5,5320.0,1479.0
22.28205704689026,43.0,5391.0,1479.0
22.534902572631836,43.0,5351.0,1479.0
22.787713766098022,43.0,5391.0,1479.0
23.040603637695312,43.5,5431.0,1479.0
23.293341875076297,42.5,5351.0,1479.0
23.54615354537964,43.0,5391.0,1479.0
23.798943996429443,43.0,5240.0,1479.0
24.05171036720276,43.5,5320.0,1479.0
24.30447769165039,43.5,5391.0,1479.0
24.557247638702393,43.5,5471.0,1479.0
24.810015439987183,43.0,5431.0,1479.0
25.06296992301941,43.0,5280.0,1479.0
25.315823316574097,43.5,5208.0,1479.0
25.56863236427307,44.0,5208.0,1479.0
25.821320295333862,43.5,5280.0,1479.0
26.07400393486023,43.0,5351.0,1479.0
26.32677125930786,43.5,5391.0,1479.0
26.57964515686035,43.0,5511.0,1479.0
26.83252239227295,44.0,5320.0,1479.0
27.08530592918396,43.5,5280.0,1479.0
27.338046312332153,44.0,5320.0,1479.0
27.590744256973267,43.0,5391.0,1479.0
27.843562602996823,43.5,5351.0,1479.0
28.096423625946045,43.5,5360.0,1479.0
28.34914517402649,44.0,5431.0,1479.0
28.60188937187195,43.5,5431.0,1479.0
28.854756355285645,43.5,5360.0,1479.0
29.107545614242554,43.0,5320.0,1479.0
29.360363483428955,44.0,5360.0,1479.0
29.613057374954224,43.5,5280.0,1479.0
29.865758419036865,43.5,5360.0,1479.0
30.11865282058716,43.5,5511.0,1479.0
30.37151050567627,43.5,5360.0,1479.0
30.6243999004364,43.0,5351.0,1479.0
30.877249479293823,43.0,5280.0,1479.0
31.129997491836548,43.5,5280.0,1479.0
31.382755994796753,43.5,5280.0,1479.0
31.63566493988037,43.5,5240.0,1479.0
31.888386726379395,43.5,5240.0,1479.0
32.14100170135498,43.5,5391.0,1479.0
32.393829584121704,43.5,5471.0,1479.0
32.64671277999878,44.0,5360.0,1479.0
32.89951682090759,44.0,5320.0,1479.0
33.1523015499115,44.0,5240.0,1479.0
33.40499997138977,44.0,5360.0,1479.0
33.65766739845276,44.0,5391.0,1479.0
33.91044807434082,44.0,5391.0,1479.0
34.16334891319275,43.5,5320.0,1479.0
34.41649127006531,44.5,5391.0,1479.0
34.6692590713501,44.0,5391.0,1479.0
34.922123193740845,44.0,5391.0,1479.0
35.17486572265625,44.0,5280.0,1479.0
35.42765259742737,44.0,5391.0,1479.0
35.68071126937866,43.5,5360.0,1479.0
35.933496713638306,43.5,5391.0,1479.0
36.186256647109985,44.0,5351.0,1479.0
36.439002990722656,44.0,5280.0,1479.0
36.69176149368286,44.0,5240.0,1479.0
36.94445490837097,44.0,5320.0,1479.0
37.19739103317261,44.0,5360.0,1479.0
37.4501211643219,44.0,5431.0,1479.0
37.70289754867554,44.0,5391.0,1479.0
37.95576858520508,44.0,5431.0,1479.0
38.20866298675537,44.5,5431.0,1479.0
38.46141052246094,44.5,5391.0,1479.0
38.714115381240845,44.0,5391.0,1479.0
38.96734857559204,44.0,5431.0,1479.0
39.22019934654236,44.0,5320.0,1479.0
39.472954511642456,44.0,5280.0,1479.0
39.725688219070435,44.5,5391.0,1479.0
39.97846293449402,44.0,5502.0,1479.0
40.23131465911865,43.5,5431.0,1479.0
40.48426151275635,44.0,5280.0,1479.0
40.737003326416016,44.0,5240.0,1479.0
40.98978328704834,44.0,5360.0,1479.0
41.24257707595825,44.0,5360.0,1479.0
41.49537992477417,44.0,5471.0,1479.0
41.74829053878784,44.0,5471.0,1479.0
42.00108051300049,44.0,5360.0,1479.0
42.25385665893555,44.5,5280.0,1479.0
42.506640911102295,44.5,5208.0,1479.0
42.759639501571655,44.5,5208.0,1479.0
43.012354612350464,44.0,5320.0,1479.0
43.2649986743927,44.0,5431.0,1479.0
43.51773834228515,44.5,5471.0,1479.0
43.770705699920654,44.5,5471.0,1479.0
44.02353882789612,44.5,5431.0,1479.0
44.27631163597107,44.0,5280.0,1479.0
44.529059410095215,44.5,5280.0,1479.0
44.781784772872925,44.5,5471.0,1479.0
45.03467297554016,44.5,5431.0,1479.0
45.28753066062927,45.0,5351.0,1479.0
45.540324449539185,44.5,5351.0,1479.0
45.79308462142944,44.5,5360.0,1479.0
46.04586148262024,44.5,5431.0,1479.0
46.29883551597595,44.5,5391.0,1479.0
46.551936626434326,44.5,5280.0,1479.0
46.804675340652466,44.5,5360.0,1479.0
47.057502031326294,44.5,5431.0,1479.0
47.31105017662048,44.5,5431.0,1479.0
47.56388735771179,45.0,5511.0,1479.0
47.81681799888611,45.0,5431.0,1479.0
48.06960201263428,44.5,5320.0,1479.0
48.32245063781738,44.5,5240.0,1479.0
48.57524561882019,45.0,5280.0,1479.0
48.82799863815307,45.0,5391.0,1479.0
49.080721378326416,44.5,5360.0,1479.0
49.33346080780029,44.5,5360.0,1479.0
49.58625864982605,45.0,5511.0,1479.0
49.839035749435425,45.0,5431.0,1479.0
50.091817140579224,44.5,5208.0,1479.0
50.34452939033508,44.5,5240.0,1479.0
50.59759736061096,44.5,5431.0,1479.0
50.85043549537659,44.5,5471.0,1479.0
51.103317737579346,44.5,5471.0,1479.0
51.35621070861816,44.5,5351.0,1479.0
51.60900330543518,45.0,5360.0,1479.0
51.86178636550903,45.0,5360.0,1479.0
52.11458206176758,44.5,5280.0,1479.0
52.36735439300537,44.5,5208.0,1479.0
52.62058091163635,44.5,5431.0,1479.0
52.8733184337616,44.5,5431.0,1479.0
53.12619709968567,45.0,5502.0,1479.0
53.37906575202942,45.0,5471.0,1479.0
53.631850242614746,44.5,5208.0,1479.0
53.8846321105957,45.0,5208.0,1479.0
54.1374454498291,45.0,5240.0,1479.0
54.39018535614014,44.5,5391.0,1479.0
54.64295840263367,44.5,5431.0,1479.0
54.89574122428894,44.5,5391.0,1479.0
55.14858078956604,44.5,5351.0,1479.0
55.401490449905396,45.0,5431.0,1479.0
55.65503263473511,45.0,5320.0,1479.0
55.90807509422302,45.0,5200.0,1479.0
56.161229848861694,45.0,5320.0,1479.0
56.413928508758545,45.0,5431.0,1479.0
56.6667754650116,45.0,5391.0,1479.0
56.91960620880127,45.0,5360.0,1479.0
57.172335147857666,45.0,5391.0,1479.0
57.425259828567505,45.0,5391.0,1479.0
57.678086042404175,45.0,5391.0,1479.0
57.93091535568237,44.5,5471.0,1479.0
58.18378448486328,45.0,5431.0,1479.0
58.43663215637207,44.5,5471.0,1479.0
58.689372062683105,45.5,5502.0,1479.0
58.94214820861816,45.0,5431.0,1479.0
59.19508695602417,45.5,5471.0,1479.0
59.44795513153076,45.0,5471.0,1479.0
59.701194524765015,45.0,5431.0,1479.0
59.95394539833069,45.5,5431.0,1479.0
60.206722021102905,45.0,5391.0,1479.0
60.45958089828491,45.5,5320.0,1479.0
60.71263813972473,45.5,5280.0,1479.0
60.965370655059814,45.0,5280.0,1479.0
61.218055725097656,45.0,5391.0,1479.0
61.47083497047424,45.5,5320.0,1479.0
61.723843812942505,44.5,5391.0,1479.0
61.97661209106445,45.5,5360.0,1479.0
62.22930932044983,45.5,5280.0,1479.0
62.48237705230713,45.5,5320.0,1479.0
62.73510146141052,45.0,5391.0,1479.0
62.987950563430786,45.5,5360.0,1479.0
63.2423939704895,45.5,5431.0,1479.0
63.4951229095459,45.5,5471.0,1479.0
63.74800109863281,45.0,5431.0,1479.0
64.0008442401886,45.5,5391.0,1479.0
64.25363850593567,45.0,5542.0,1479.0
64.50652003288269,45.0,5320.0,1479.0
64.75936102867126,45.5,5360.0,1479.0
65.01221084594727,45.5,5391.0,1479.0
65.26495289802551,46.0,5431.0,1479.0
65.52159237861633,45.0,5471.0,1479.0
65.7743468284607,45.5,5431.0,1479.0
66.02718114852905,45.0,5320.0,1479.0
66.27997207641602,45.5,5391.0,1479.0
66.53277063369751,45.0,5431.0,1479.0
66.7854871749878,45.5,5431.0,1479.0
67.03904581069946,45.0,5391.0,1479.0
67.29190564155579,45.0,5391.0,1479.0
67.5446834564209,45.5,5431.0,1479.0
67.79740858078003,45.5,5431.0,1479.0
68.0502245426178,45.5,5391.0,1479.0
68.30323553085327,45.5,5320.0,1479.0
68.55602812767029,45.5,5351.0,1479.0
68.80876636505127,45.5,5431.0,1479.0
69.06145071983337,45.5,5471.0,1479.0
69.31415629386902,45.5,5320.0,1479.0
69.56696772575378,45.0,5320.0,1479.0
69.81974983215332,45.5,5391.0,1479.0
70.07266330718994,45.5,5502.0,1479.0
70.3254246711731,45.5,5431.0,1479.0
70.57834076881409,45.5,5431.0,1479.0
70.83114838600159,45.5,5391.0,1479.0
71.08396649360657,45.5,5360.0,1479.0
71.33671522140503,46.0,5391.0,1479.0
71.58943128585815,46.0,5431.0,1479.0
71.8421471118927,45.5,5471.0,1479.0
72.09498190879822,45.5,5391.0,1479.0
72.34778666496277,45.5,5391.0,1479.0
72.6006293296814,46.0,5391.0,1479.0
72.85337829589844,45.5,5542.0,1479.0
73.10620713233948,45.5,5320.0,1479.0
73.35897374153137,45.5,5391.0,1479.0
73.61183023452759,45.5,5351.0,1479.0
73.86462140083313,45.5,5360.0,1479.0
74.11738991737366,45.5,5431.0,1479.0
74.37044167518616,45.5,5208.0,1479.0
74.6232681274414,46.0,5391.0,1479.0
74.87624502182007,46.0,5391.0,1479.0
75.12900972366333,45.5,5351.0,1479.0
75.38176655769348,45.5,5280.0,1479.0
75.63466715812683,45.5,5280.0,1479.0
75.8874454498291,46.0,5431.0,1479.0
76.14022445678711,45.5,5431.0,1479.0
76.39300465583801,45.5,5511.0,1479.0
76.64579653739929,45.5,5502.0,1479.0
76.89872717857361,46.0,5391.0,1479.0
77.15150356292725,46.0,5200.0,1479.0
77.40422081947327,45.5,5280.0,1479.0
77.656907081604,45.5,5351.0,1479.0
77.91021275520325,46.0,5351.0,1479.0
78.16293621063232,46.0,5471.0,1479.0
78.41567468643188,46.0,5471.0,1479.0
78.66848731040955,46.0,5502.0,1479.0
78.92215061187744,46.0,5311.0,1479.0
79.1751937866211,46.0,5168.0,1479.0
79.42815613746643,46.0,5240.0,1479.0
79.68085193634033,46.0,5471.0,1479.0
79.93361568450928,46.5,5502.0,1479.0
80.18663167953491,46.0,5431.0,1479.0
80.4394953250885,46.5,5351.0,1479.0
80.69239926338196,46.0,5391.0,1479.0
80.94822692871094,46.0,5391.0,1479.0
81.20107889175415,46.5,5391.0,1479.0
81.45398139953613,46.0,5351.0,1479.0
81.70688462257385,46.0,5431.0,1479.0
81.95964908599854,46.0,5391.0,1479.0
82.21251034736633,46.5,5471.0,1479.0
82.46528172492981,46.5,5511.0,1479.0
82.71811270713806,46.5,5391.0,1479.0
82.97091913223267,46.5,5431.0,1479.0
83.22375392913818,46.5,5320.0,1479.0
83.4767701625824,46.0,5320.0,1479.0
83.72955536842346,46.5,5391.0,1479.0
83.98235297203064,46.0,5542.0,1479.0
84.23514604568481,46.0,5431.0,1479.0
84.48803997039795,46.5,5502.0,1479.0
84.74084305763245,46.5,5351.0,1479.0
84.99354672431946,46.0,5360.0,1479.0
85.24626278877258,46.5,5360.0,1479.0
85.4990508556366,46.5,5431.0,1479.0
85.75208950042725,46.5,5320.0,1479.0
86.00823879241943,46.5,5360.0,1479.0
86.26098299026489,46.5,5391.0,1479.0
86.51372289657593,46.5,5471.0,1479.0
86.7665433883667,46.5,5391.0,1479.0
87.0193018913269,46.5,5391.0,1479.0
87.27205967903137,46.0,5391.0,1479.0
87.5248613357544,46.0,5351.0,1479.0
87.77764010429382,46.5,5360.0,1479.0
88.03036212921143,47.0,5471.0,1479.0
88.28310966491699,46.5,5471.0,1479.0
88.53586935997009,47.0,5391.0,1479.0
88.78858494758606,47.0,5511.0,1479.0
89.04131507873535,46.5,5471.0,1479.0
89.29413342475891,46.5,5351.0,1479.0
89.54702019691467,46.0,5391.0,1479.0
89.7998571395874,47.0,5391.0,1479.0
90.05279922485352,46.5,5360.0,1479.0
90.30572605133057,46.5,5320.0,1479.0
90.55846524238586,46.5,5431.0,1479.0
90.81130361557008,46.5,5471.0,1479.0
91.06736779212952,46.5,5431.0,1479.0
91.32037544250488,46.5,5502.0,1479.0
91.57355070114136,46.5,5351.0,1479.0
91.82631587982178,47.0,5351.0,1479.0
92.079026222229,46.5,5280.0,1479.0
92.33181858062744,46.5,5280.0,1479.0
92.58455967903136,46.5,5471.0,1479.0
92.8373658657074,46.5,5471.0,1479.0
93.09021210670473,47.0,5511.0,1479.0
93.34310603141785,46.5,5582.0,1479.0
93.596364736557,47.0,5208.0,1479.0
93.84903240203856,46.5,5240.0,1479.0
94.101726770401,47.0,5320.0,1479.0
94.3544900417328,47.0,5542.0,1479.0
94.60729050636292,46.5,5471.0,1479.0
94.86023879051208,47.0,5431.0,1479.0
95.11303687095642,47.0,5391.0,1479.0
95.36582112312315,46.5,5351.0,1479.0
95.61858654022215,47.0,5208.0,1479.0
95.87130093574524,47.0,5280.0,1479.0
96.127259016037,47.0,5280.0,1479.0
96.38023352622986,47.0,5542.0,1479.0
96.63306546211244,47.0,5511.0,1479.0
96.88596534729004,47.0,5431.0,1479.0
97.13883352279665,46.5,5431.0,1479.0
97.3918070793152,47.0,5240.0,1479.0
97.64462518692017,46.5,5431.0,1479.0
97.89732551574708,47.0,5471.0,1479.0
98.15017056465148,46.5,5391.0,1479.0
98.40298676490784,47.5,5431.0,1479.0
98.65580892562866,47.5,5391.0,1479.0
98.9085738658905,47.0,5320.0,1479.0
99.16127347946168,47.0,5320.0,1479.0
99.4140396118164,47.0,5016.0,1479.0
99.66700053215028,47.0,4975.0,1479.0
99.92019701004028,46.5,5128.0,1479.0
100.17295575141908,47.5,4361.0,1479.0
100.42563104629517,45.0,3738.0,1479.0
100.67896795272829,44.5,3546.0,1479.0
100.93186450004578,45.5,3744.0,1479.0
101.10035371780396,45.5,3271.0,1479.0
