elapsed_s,temp_c,power_mw,freq_mhz
5.245208740234375e-06,41.0,3230.0,1479.0
0.2547159194946289,40.5,4823.0,1479.0
0.507624626159668,41.0,4903.0,1479.0
0.7601404190063477,40.5,4863.0,1479.0
1.0128188133239746,40.5,4823.0,1479.0
1.2655506134033203,40.5,4790.0,1479.0
1.5182344913482666,40.5,4903.0,1479.0
1.771005153656006,41.0,4975.0,1479.0
2.0237905979156494,41.0,4903.0,1479.0
2.2765214443206787,40.5,4823.0,1479.0
2.5293030738830566,40.5,4823.0,1479.0
2.7819664478302,40.5,4823.0,1479.0
3.034663677215576,41.0,4863.0,1479.0
3.287466049194336,41.0,4669.0,1479.0
3.540202379226685,41.0,4863.0,1479.0
3.7930667400360103,41.0,4903.0,1479.0
4.045903444290161,41.0,4943.0,1479.0
4.298840284347534,40.5,4750.0,1479.0
4.551842451095581,40.5,4750.0,1479.0
4.804636240005493,41.0,4823.0,1479.0
5.057481050491333,40.5,4709.0,1479.0
5.310525417327881,40.5,4750.0,1479.0
5.563404321670532,40.5,4750.0,1479.0
5.816105842590332,41.5,5240.0,1479.0
6.068855047225952,41.5,5431.0,1479.0
6.321741819381714,41.0,5240.0,1479.0
6.574622392654419,41.5,5360.0,1479.0
6.827596426010132,41.5,5360.0,1479.0
7.080421447753906,41.5,5240.0,1479.0
7.333377361297607,41.5,5208.0,1479.0
7.587975978851318,41.5,5360.0,1479.0
7.840831756591797,42.0,5400.0,1479.0
8.101712226867676,42.0,5360.0,1479.0
8.354592084884644,42.0,5240.0,1479.0
8.607400178909302,42.0,5240.0,1479.0
8.860095977783203,42.0,5391.0,1479.0
9.112909078598022,42.0,5360.0,1479.0
9.365712881088257,42.0,5360.0,1479.0
9.618542194366457,42.0,5360.0,1479.0
9.871377944946287,41.5,5240.0,1479.0
10.124158143997192,42.0,5208.0,1479.0
10.376846313476562,42.0,5280.0,1479.0
10.629579544067385,42.0,5360.0,1479.0
10.882362365722656,42.0,5431.0,1479.0
11.13515853881836,41.5,5280.0,1479.0
11.38843274116516,42.5,5320.0,1479.0
11.64125919342041,42.0,5360.0,1479.0
11.894016027450562,42.0,5320.0,1479.0
12.146804332733154,42.5,5471.0,1479.0
12.399733781814575,41.5,5248.0,1479.0
12.652547836303713,42.0,5320.0,1479.0
12.905651807785034,42.0,5248.0,1479.0
13.15846848487854,42.0,5208.0,1479.0
13.411379098892212,42.0,5240.0,1479.0
13.664034128189089,42.0,5280.0,1479.0
13.916860342025757,42.0,5320.0,1479.0
14.169701099395752,42.5,5391.0,1479.0
14.422579050064089,42.0,5431.0,1479.0
14.675430297851562,42.5,5471.0,1479.0
14.928205013275146,42.0,5240.0,1479.0
15.181305170059204,42.5,5320.0,1479.0
15.434111595153809,42.0,5360.0,1479.0
15.686903476715088,42.5,5360.0,1479.0
15.93963360786438,42.5,5431.0,1479.0
16.1925265789032,42.0,5320.0,1479.0
16.44554901123047,42.5,5280.0,1479.0
16.698395013809204,42.5,5240.0,1479.0
16.95137071609497,42.5,5240.0,1479.0
17.20409893989563,42.5,5208.0,1479.0
17.45678448677063,42.0,5248.0,1479.0
17.709588766098022,42.0,5511.0,1479.0
17.962430715560913,42.5,5320.0,1479.0
18.215219020843502,42.0,5280.0,1479.0
18.46790885925293,42.5,5280.0,1479.0
18.72077250480652,42.0,5280.0,1479.0
18.97355604171753,42.0,5248.0,1479.0
19.226365327835083,42.5,5360.0,1479.0
19.4790940284729,42.5,5431.0,1479.0
19.731951236724857,42.5,5360.0,1479.0
19.98472261428833,42.5,5360.0,1479.0
20.23755168914795,42.5,5391.0,1479.0
20.49062466621399,42.0,5320.0,1479.0
20.74341058731079,42.5,5360.0,1479.0
20.996127367019653,42.5,5400.0,1479.0
21.24890899658203,43.0,5391.0,1479.0
21.501758813858032,42.5,5320.0,1479.0
21.75457978248596,42.5,5240.0,1479.0
22.0073459148407,42.5,5280.0,1479.0
22.26008367538452,42.5,5431.0,1479.0
22.5127854347229,42.5,5360.0,1479.0
22.76563596725464,43.0,5320.0,1479.0
23.018447637557983,42.5,5360.0,1479.0
23.27126979827881,42.5,5360.0,1479.0
23.524925708770752,43.0,5280.0,1479.0
23.777676582336422,42.5,5320.0,1479.0
24.03044104576111,42.5,5400.0,1479.0
24.283202409744263,42.0,5471.0,1479.0
24.535938262939453,42.5,5360.0,1479.0
24.78877830505371,42.0,5240.0,1479.0
25.041606426239017,42.5,5280.0,1479.0
25.294422388076782,43.0,5391.0,1479.0
25.54720997810364,42.5,5431.0,1479.0
25.79997944831848,42.5,5320.0,1479.0
26.052780389785767,42.5,5280.0,1479.0
26.305642127990723,43.0,5391.0,1479.0
26.55847930908203,43.0,5360.0,1479.0
26.811280965805057,43.0,5360.0,1479.0
27.06398868560791,43.0,5431.0,1479.0
27.31679630279541,42.5,5360.0,1479.0
27.569748878479004,42.5,5280.0,1479.0
27.82272171974182,43.0,5280.0,1479.0
28.075468063354492,43.0,5360.0,1479.0
28.328241109848022,43.0,5320.0,1479.0
28.580929040908813,43.0,5360.0,1479.0
28.833719968795776,43.0,5320.0,1479.0
29.08645081520081,43.5,5391.0,1479.0
29.33918309211731,43.0,5391.0,1479.0
29.591938972473145,42.5,5400.0,1479.0
29.84466671943665,43.0,5280.0,1479.0
30.097416162490845,43.0,5391.0,1479.0
30.35050320625305,42.5,5431.0,1479.0
30.603310108184814,43.0,5320.0,1479.0
30.856099367141724,43.5,5360.0,1479.0
